pclass,survival,sex,age,fare,embarked
1st,1,female,29,"211,337494",Southampton
1st,1,male,"0,916700006","151,550003",Southampton
1st,0,female,2,"151,550003",Southampton
1st,0,male,30,"151,550003",Southampton
1st,0,female,25,"151,550003",Southampton
1st,1,male,48,"26,5499992",Southampton
1st,1,female,63,"77,9582977",Southampton
1st,0,male,39,0,Southampton
1st,1,female,53,"51,4791985",Southampton
1st,0,male,71,"49,5042",Cherbourg
1st,0,male,47,"227,524994",Cherbourg
1st,1,female,18,"227,524994",Cherbourg
1st,1,female,24,"69,3000031",Cherbourg
1st,1,female,26,"78,8499985",Southampton
1st,1,male,80,30,Southampton
1st,0,male,24,"247,520798",Cherbourg
1st,1,female,50,"247,520798",Cherbourg
1st,1,female,32,"76,2917023",Cherbourg
1st,0,male,36,"75,2416992",Cherbourg
1st,1,male,37,"52,5541992",Southampton
1st,1,female,47,"52,5541992",Southampton
1st,1,male,26,30,Cherbourg
1st,1,female,42,"227,524994",Cherbourg
1st,1,female,29,"221,779205",Southampton
1st,0,male,25,26,Cherbourg
1st,1,male,25,"91,0792007",Cherbourg
1st,1,female,19,"91,0792007",Cherbourg
1st,1,female,35,"135,633301",Southampton
1st,1,male,28,"26,5499992",Southampton
1st,0,male,45,"35,5",Southampton
1st,1,male,40,31,Cherbourg
1st,1,female,30,"164,866699",Southampton
1st,1,female,58,"26,5499992",Southampton
1st,0,male,42,"26,5499992",Southampton
1st,1,female,45,"262,375",Cherbourg
1st,1,female,22,55,Southampton
1st,0,male,41,"30,5",Southampton
1st,0,male,48,"50,4958",Cherbourg
1st,1,female,44,"27,7208004",Cherbourg
1st,1,female,59,"51,4791985",Southampton
1st,1,female,60,"76,2917023",Cherbourg
1st,1,female,41,"134,5",Cherbourg
1st,0,male,45,"26,5499992",Southampton
1st,1,male,42,"26,2875004",Southampton
1st,1,female,53,"27,4458008",Cherbourg
1st,1,male,36,"512,329224",Cherbourg
1st,1,female,58,"512,329224",Cherbourg
1st,0,male,33,5,Southampton
1st,0,male,28,"47,0999985",Southampton
1st,0,male,17,"47,0999985",Southampton
1st,1,male,11,120,Southampton
1st,1,female,14,120,Southampton
1st,1,male,36,120,Southampton
1st,1,female,36,120,Southampton
